TwitterHandle,Date,TweetsAgo,Compound,Positive,Negative,Neutral,Tweet
BBC,2018-10-09 15:00:05+00:00,60,0.5859,0.183,0.817,0.0,RT @bbcideas: Introducing the amazing electrical engineer Hertha Ayrton AKA The woman who tamed lightning #womeninSTEM #AdaLovelaceDay http…
BBC,2018-10-09 14:59:33+00:00,61,0.4192,0.104,0.896,0.0,"RT @bbc5live: IT'S ELEVEN WEEKS UNTIL CHRISTMAS! 🐶🎁🎊🎉🎄

The most wonderful time of the year... but not for your bank account. 💸

@MartinSLe…"
BBC,2018-10-09 14:51:49+00:00,62,-0.0258,0.168,0.66,0.173,"🐳❤️ Rescuers free trapped whale calf from a shark net, as other whales wait nearby.  https://t.co/hN2z7A60zo"
BBC,2018-10-09 14:18:04+00:00,63,0.0,0.0,1.0,0.0,"#HimToo: How Pieter Hanson's mother made him internet famous. 
👉 https://t.co/5o9dnIfdUG https://t.co/vnO40wWLVm"
BBC,2018-10-09 13:03:06+00:00,64,-0.2732,0.042,0.875,0.084,🗻 A woman who has no hands or feet is believed to be the first female quadruple amputee to reach the summit of Moun… https://t.co/YXDSDENflu
BBC,2018-10-09 12:02:05+00:00,65,0.4927,0.166,0.834,0.0,"Sue Black is a computer scientist and one of the most influential women in tech. 
#WomenInSTEM #AdaLovelaceDay https://t.co/3wK7v2vGnZ"
BBC,2018-10-09 12:01:43+00:00,66,0.6908,0.222,0.778,0.0,"RT @BBCRadio2: ""It was a revelation of the splendour and fecundity of the natural world from which I have never recovered.""

Nobody has see…"
BBC,2018-10-09 11:25:11+00:00,67,0.3182,0.161,0.839,0.0,"RT @BBCR1: #R1LiveLoungeMonth 2018 ✨

@twentyonepilots
@DizzeeRascal
@marshmellomusic @BastilleDan
@robynkonichiwa
@Hozier
@zaralarsson
@Je…"
BBC,2018-10-09 11:01:03+00:00,68,0.0,0.0,1.0,0.0,"How has Instagram changed the way we experience art?
👉 https://t.co/YRHDanYy9K https://t.co/jdQG6asOUS"
BBC,2018-10-09 10:49:26+00:00,69,0.0,0.0,1.0,0.0,"RT @bbcthree: #ThisCountry is back tomorrow, you lummocks. https://t.co/J2ZIitGCeE"
BBC,2018-10-09 10:19:28+00:00,70,0.0,0.0,1.0,0.0,"⚗🔬 How many female scientists can you name? 
#AdaLovelaceDay #WomenInSTEM  https://t.co/n5oAcYAC3U"
BBC,2018-10-09 10:00:00+00:00,71,0.0,0.0,1.0,0.0,"Is cockney rhyming slang really brown bread?

Armchair Britain visits the East End at 11.45am on @BBCOne.… https://t.co/Lnsw2g9kwT"
BBC,2018-10-09 09:03:09+00:00,72,0.5719,0.163,0.837,0.0,"RT @bbcarts: As #LibrariesWeek celebrates the link between reading and wellbeing, Wolf Hall author Hilary Mantel explains how reading ficti…"
BBC,2018-10-09 08:01:00+00:00,73,0.0,0.0,1.0,0.0,"❤️💪 'It's my body, I do what I like'.
Some sage advice from ""Glenys the Menace"".

Via @BBCDerby https://t.co/KO5VOWMokP"
BBC,2018-10-09 06:58:04+00:00,74,0.296,0.141,0.781,0.078,"Going plastic-free is tough. 
Here are some tips that might help.
👉 https://t.co/TXCukKcIee https://t.co/ZdPjFnZe5F"
BBC,2018-10-09 06:09:04+00:00,75,0.0,0.0,1.0,0.0,"Little lady of the lake ⚔ 

Eight-year-old Saga recalls the moment she discovered an ancient sword in the bottom of… https://t.co/Foe8QAB9cR"
BBC,2018-10-08 20:02:04+00:00,76,-0.7579,0.0,0.667,0.333,"Film-maker @RogerRossWill examines the American prison system.

Storyville: Jailed in America | 10pm | @BBCFour |… https://t.co/EtiEoOQFhD"
BBC,2018-10-08 18:01:03+00:00,77,0.0,0.0,1.0,0.0,'Quantum physics really helped me understand my queer identity.'  https://t.co/GNqt7jfGT5
BBC,2018-10-08 16:57:02+00:00,78,0.0,0.0,1.0,0.0,"Sir Billy Connolly has put himself forward to become a stem cell research ""guinea pig"" as part of efforts to find a… https://t.co/3hsjA7ruhp"
BBC,2018-10-08 15:53:00+00:00,79,0.0772,0.24,0.599,0.162,"Could seaweed be the solution to our growing plastic problem?
#DrowningInPlastic #PlasticsAction https://t.co/oforGQeLEF"
BBC,2018-10-08 12:56:02+00:00,80,-0.5829,0.0,0.79,0.21,"'It's the final call', say scientists, the most extensive warning yet on the risks of rising global temperatures.
👉… https://t.co/fi1K3RdOPF"
BBC,2018-10-08 11:56:03+00:00,81,0.0,0.0,1.0,0.0,💕 How a memorial bench is bringing people closer together.  https://t.co/GQEmVYEtER
BBC,2018-10-08 11:05:06+00:00,82,0.0,0.0,1.0,0.0,"💷 Where does rent hit young people the hardest in Britain?
👉 https://t.co/vHRIRgji6O https://t.co/R8uLUGcDfl"
BBC,2018-10-08 09:27:09+00:00,83,0.0,0.0,1.0,0.0,😲🖼 The moment a £1m Banksy artwork shredded itself. https://t.co/8gwWo4fK4P
BBC,2018-10-08 09:13:15+00:00,84,0.4215,0.167,0.833,0.0,RT @BBC6Music: Even David Bowie’s talent wasn’t obvious to everyone. 🤦‍♀️ #fiveyears #davidbowie https://t.co/mgUFGEtwit
